Disease Name,Symptoms,Causes,Recommended Medicine/Fertilizer/Vitamins,Dosage & Duration,Preventive Measures,Recommended Pesticides,Pesticide Usage Measures
"Pepper, bell - Bacterial spot","Small, water-soaked lesions on leaves that turn brown and develop yellow halos.","Bacteria (Xanthomonas campestris pv. vesicatoria), spread by wind, rain, and contaminated tools.","Copper-based fungicides, Streptomycin sulfate.",Copper spray every 7–10 days; Streptomycin sulfate as foliar spray per manufacturer's instructions.,"Use disease-free seeds, practice crop rotation, and avoid overhead watering.","Copper hydroxide, Mancozeb.",Apply early in the season; avoid overuse to prevent resistance.
"Pepper, bell - Healthy",No symptoms; plant exhibits normal growth and productivity.,Healthy environmental conditions and proper care.,"Balanced NPK fertilizer, organic compost.",Apply NPK (10-10-10) every 3 weeks.,"Ensure proper watering, nutrition, and pest control.",None required.,Not applicable.
Potato - Early blight,"Brown spots with concentric rings on lower leaves, leading to yellowing and defoliation.","Fungus (Alternaria solani), spread by wind and rain.","Chlorothalonil, Mancozeb, Copper fungicides.",Apply fungicide every 7–10 days during wet conditions.,"Use resistant varieties, remove infected debris, practice crop rotation.","Azoxystrobin, Difenoconazole.",Apply at early signs of infection; follow label instructions.
Potato - Late blight,"Dark, water-soaked lesions on leaves and stems, white moldy growth under humid conditions.","Fungus (Phytophthora infestans), spreads rapidly in cool, wet weather.","Metalaxyl, Copper-based fungicides.",Apply Metalaxyl as foliar spray every 7 days.,"Plant resistant varieties, avoid overhead watering, remove infected plants.","Chlorothalonil, Mancozeb.",Rotate fungicides to prevent resistance.
Potato - Healthy,No symptoms; plant grows normally with green leaves and good tuber formation.,Optimal growing conditions and proper disease management.,"Balanced NPK fertilizer, Calcium, Magnesium supplements.",Apply NPK (15-15-15) every 4 weeks.,"Maintain soil health, proper irrigation, and pest control.",None required.,Not applicable.
Tomato - Bacterial spot,"Dark, water-soaked spots on leaves, leading to yellowing and leaf drop.","Bacterium (Xanthomonas campestris pv. vesicatoria), spread through water and contaminated tools.","Copper-based fungicides, Streptomycin.",Apply copper spray every 7–10 days.,"Avoid overhead watering, practice crop rotation, and use disease-free seeds.","Mancozeb, Copper hydroxide.",Apply early in the infection to prevent spread.
Tomato - Early blight,"Brown spots with concentric rings on lower leaves, causing yellowing and defoliation.","Fungus (Alternaria solani), spreads through wind, rain, and contaminated soil.","Chlorothalonil, Mancozeb.",Apply fungicide every 7–10 days during wet conditions.,"Rotate crops, remove infected leaves, and apply mulch to prevent soil splash.","Azoxystrobin, Difenoconazole.",Spray at the first signs of infection.
Tomato - Late blight,"Large, dark lesions on leaves and stems, with white fungal growth in humid conditions.","Fungus (Phytophthora infestans), thrives in cool, wet weather.","Metalaxyl, Copper-based fungicides.",Apply Metalaxyl as foliar spray every 7 days.,"Plant resistant varieties, improve air circulation, and avoid overhead watering.","Chlorothalonil, Mancozeb.",Apply fungicides preventively in high-risk conditions.
Tomato - Leaf Mold,"Yellow spots on upper leaf surfaces, fuzzy olive-green mold on undersides.","Fungus (Passalora fulva), spreads in high humidity and poor ventilation.","Chlorothalonil, Copper fungicides.",Spray fungicide every 7–10 days.,"Ensure good air circulation, reduce humidity, and remove infected leaves.","Mancozeb, Copper hydroxide.",Apply at early symptoms and rotate fungicides.
Tomato - Septoria leaf spot,"Small, circular spots with dark brown edges and gray centers on lower leaves.","Fungus (Septoria lycopersici), thrives in warm, wet conditions.","Chlorothalonil, Copper-based fungicides.",Apply fungicide every 7–10 days.,"Crop rotation, remove plant debris, and ensure good air circulation.","Azoxystrobin, Difenoconazole.",Apply at first signs of infection.
Tomato - Spider mites (Two-spotted spider mite),"Tiny yellow spots on leaves, fine webbing, and leaf drop.","Spider mites (Tetranychus urticae), thrive in hot, dry conditions.","Neem oil, insecticidal soap.",Apply neem oil every 5–7 days.,"Spray plants with water to dislodge mites, introduce predatory mites.","Abamectin, Spinosad.",Apply only if infestation is severe.
Tomato - Target Spot,Brown spots with concentric rings on leaves and fruits.,"Fungus (Corynespora cassiicola), thrives in warm, humid environments.","Chlorothalonil, Copper fungicides.",Apply fungicide every 7–10 days.,"Improve air circulation, remove infected debris.","Mancozeb, Difenoconazole.",Spray preventively during humid conditions.
Tomato - Tomato Yellow Leaf Curl Virus,"Yellowing, curling of leaves, stunted growth.",Virus (transmitted by whiteflies).,No direct cure; manage whiteflies with insecticides.,Use insecticides every 7–10 days.,"Use resistant varieties, control whitefly populations.","Imidacloprid, Pyriproxyfen.",Apply in early morning or late evening.
Tomato - Tomato mosaic virus,"Mosaic-like yellowing of leaves, stunted growth.","Virus (transmitted via contaminated tools, hands, and seeds).",No direct cure; destroy infected plants.,Not applicable.,"Use resistant varieties, disinfect tools, avoid handling infected plants.",None (focus on prevention).,Not applicable.
Tomato - Healthy,No symptoms; plant grows normally.,Optimal growing conditions.,"Balanced NPK, organic compost.",Apply NPK (10-10-10) every 3 weeks.,"Proper nutrition, pest control.",None required.,Not applicable.
